Cafe Name,Time of Day,Estimated Speaker Age,Speaker Gender,Listener 1 Age,Listener1 Gender,Listener 2 Age,Listener 2 Gender,"Content Words (one word, not phrases)",Theme/Topic,"Formality (Informal, Neutral, Formal)",opt: clothing,opt: orders,opt: occupation,opt: native speaker?,Other notable details,,,,,,,,,,
Peet's Coffee and Tea,3-4 PM,50,M,45,M,,,typical,Family,informal,casual,,"engineer, unemployed",yes,British-like accent,,,,,,,,,,
Sprout Café,3.43 pm.,40,Female,30,Female,,,says,Friend or family,Neutral,casual,,,Y,,,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Daddy,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Sit,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Stop,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Look,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Doggy,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,iPad,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Please,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Play,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Watch,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Fun,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Smile,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Ew,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Gross,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,*takes selfie*,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Number,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,35-45,Female,15-Dec,Female,5-Mar,Female,Leave,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Want,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Weird,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Like,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Hair,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Taking,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Selfie,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
